"#set","station","line num","no trait","powered","charged","precise","infused","defending","training","sharpened","decisive","nirnhoned","item name"
6,6,1,46901,46737,46539,46749,46632,46551,46842,46784,46854,56145,"Bow of Twilight's Embrace"
6,6,2,46911,46738,46540,46750,46633,46552,46843,46785,46855,56146,"Inferno Staff of Twilight's Embrace"
6,6,3,46912,46739,46541,46751,46634,46553,46844,46786,46856,56147,"Ice Staff of Twilight's Embrace"
6,6,4,46913,46740,46542,46752,46635,46554,46845,46787,46857,56148,"Lightning Staff of Twilight's Embrace"
6,6,5,46914,46741,46543,46753,46636,46555,46846,46788,46858,56149,"Restoration Staff of Twilight's Embrace"
6,6,6,46910,46811,46624,46776,46881,46834,46659,46601,46578,56172,"Shield of Twilight's Embrace"
7,2,1,48042,47945,47758,47910,48015,47968,47793,47735,47712,56262,"Robe of the Seducer"
7,2,2,48047,47950,47763,47915,48020,47973,47798,47740,47717,56267,"Shirt of the Seducer"
7,2,3,48043,47946,47759,47911,48016,47969,47794,47736,47713,56263,"Shoes of the Seducer"
7,2,4,48044,47947,47760,47912,48017,47970,47795,47737,47714,56264,"Gloves of the Seducer"
7,2,5,48045,47948,47761,47913,48018,47971,47796,47738,47715,56265,"Hat of the Seducer"
7,2,6,48046,47949,47762,47914,48019,47972,47797,47739,47716,56266,"Breeches of the Seducer"
7,2,7,48048,47951,47764,47916,48021,47974,47799,47741,47718,56268,"Epaulets of the Seducer"
7,2,8,48049,47952,47765,47917,48022,47975,47800,47742,47719,56269,"Sash of the Seducer"
7,2,9,48051,47953,47766,47918,48023,47976,47801,47743,47720,56270,"Jack of the Seducer"
7,2,10,48052,47954,47767,47919,48024,47977,47802,47744,47721,56271,"Boots of the Seducer"
7,2,11,48053,47955,47768,47920,48025,47978,47803,47745,47722,56272,"Bracers of the Seducer"
7,2,12,48054,47956,47769,47921,48026,47979,47804,47746,47723,56273,"Helmet of the Seducer"
7,2,13,48055,47957,47770,47922,48027,47980,47805,47747,47724,56274,"Guards of the Seducer"
7,2,14,48056,47958,47771,47923,48028,47981,47806,47748,47725,56275,"Arm Cops of the Seducer"
7,2,15,48057,47959,47772,47924,48029,47982,47807,47749,47726,56276,"Belt of the Seducer"
7,1,1,48031,47879,47681,47891,47774,47693,47984,47926,47996,56243,"Axe of the Seducer"
7,1,2,48032,47880,47682,47892,47775,47694,47985,47927,47997,56244,"Hammer of the Seducer"
7,1,3,48033,47881,47683,47893,47776,47695,47986,47928,47998,56245,"Sword of the Seducer"
7,1,4,48034,47882,47684,47894,47777,47696,47987,47929,47999,56246,"Battle Axe of the Seducer"
7,1,5,48036,47884,47686,47896,47779,47698,47989,47931,48001,56248,"Greatsword of the Seducer"
7,1,6,48035,47883,47685,47895,47778,47697,47988,47930,48000,56247,"Maul of the Seducer"
7,1,7,48037,47885,47687,47897,47780,47699,47990,47932,48002,56249,"Dagger of the Seducer"
7,1,8,43830,47938,47751,47903,48008,47961,47786,47728,47705,56255,"Cuirass of the Seducer"
7,1,9,48039,47939,47752,47904,48009,47962,47787,47729,47706,56256,"Sabatons of the Seducer"
7,1,10,48040,47940,47753,47905,48010,47963,47788,47730,47707,56257,"Gauntlets of the Seducer"
7,1,11,43827,47941,47754,47906,48011,47964,47789,47731,47708,56258,"Helm of the Seducer"
7,1,12,43829,47942,47755,47907,48012,47965,47790,47732,47709,56259,"Greaves of the Seducer"
7,1,13,43828,47943,47756,47908,48013,47966,47791,47733,47710,56260,"Pauldron of the Seducer"
7,1,14,48041,47944,47757,47909,48014,47967,47792,47734,47711,56261,"Girdle of the Seducer"
7,6,1,48050,47886,47688,47898,47781,47700,47991,47933,48003,56250,"Bow of the Seducer"
7,6,2,48060,47887,47689,47899,47782,47701,47992,47934,48004,56251,"Inferno Staff of the Seducer"
7,6,3,48061,47888,47690,47900,47783,47702,47993,47935,48005,56252,"Ice Staff of the Seducer"
7,6,4,48062,47889,47691,47901,47784,47703,47994,47936,48006,56253,"Lightning Staff of the Seducer"
7,6,5,48063,47890,47692,47902,47785,47704,47995,47937,48007,56254,"Restoration Staff of the Seducer"
7,6,6,48059,47960,47773,47925,48030,47983,47808,47750,47727,56277,"Shield of the Seducer"
9,2,1,51105,51004,50817,50969,51074,51027,50852,50794,50771,56542,"Robe of Hist Bark"
9,2,2,51110,51009,50822,50974,51079,51032,50857,50799,50776,56547,"Shirt of Hist Bark"
9,2,3,51106,51005,50818,50970,51075,51028,50853,50795,50772,56543,"Shoes of Hist Bark"
9,2,4,51107,51006,50819,50971,51076,51029,50854,50796,50773,56544,"Gloves of Hist Bark"
9,2,5,51108,51007,50820,50972,51077,51030,50855,50797,50774,56545,"Hat of Hist Bark"
9,2,6,51109,51008,50821,50973,51078,51031,50856,50798,50775,56546,"Breeches of Hist Bark"
9,2,7,51111,51010,50823,50975,51080,51033,50858,50800,50777,56548,"Epaulets of Hist Bark"
9,2,8,51112,51011,50824,50976,51081,51034,50859,50801,50778,56549,"Sash of Hist Bark"
9,2,9,43998,51012,50825,50977,51082,51035,50860,50802,50779,56550,"Jack of Hist Bark"
9,2,10,44000,51013,50826,50978,51083,51036,50861,50803,50780,56551,"Boots of Hist Bark"
9,2,11,43996,51014,50827,50979,51084,51037,50862,50804,50781,56552,"Bracers of Hist Bark"
9,2,12,51114,51015,50828,50980,51085,51038,50863,50805,50782,56553,"Helmet of Hist Bark"
9,2,13,43997,51016,50829,50981,51086,51039,50864,50806,50783,56554,"Guards of Hist Bark"
9,2,14,43995,51017,50830,50982,51087,51040,50865,50807,50784,56555,"Arm Cops of Hist Bark"
9,2,15,43999,51018,50831,50983,51088,51041,50866,50808,50785,56556,"Belt of Hist Bark"
9,1,1,51090,50938,50740,50950,50833,50752,51043,50985,51055,56523,"Axe of Hist Bark"
9,1,2,51091,50939,50741,50951,50834,50753,51044,50986,51056,56524,"Hammer of Hist Bark"
9,1,3,51092,50940,50742,50952,50835,50754,51045,50987,51057,56525,"Sword of Hist Bark"
9,1,4,51093,50941,50743,50953,50836,50755,51046,50988,51058,56526,"Battle Axe of Hist Bark"
9,1,5,51095,50943,50745,50955,50838,50757,51048,50990,51060,56528,"Greatsword of Hist Bark"
9,1,6,51094,50942,50744,50954,50837,50756,51047,50989,51059,56527,"Maul of Hist Bark"
9,1,7,51096,50944,50746,50956,50839,50758,51049,50991,51061,56529,"Dagger of Hist Bark"
9,1,8,51098,50997,50810,50962,51067,51020,50845,50787,50764,56535,"Cuirass of Hist Bark"
9,1,9,51099,50998,50811,50963,51068,51021,50846,50788,50765,56536,"Sabatons of Hist Bark"
9,1,10,51100,50999,50812,50964,51069,51022,50847,50789,50766,56537,"Gauntlets of Hist Bark"
9,1,11,51101,51000,50813,50965,51070,51023,50848,50790,50767,56538,"Helm of Hist Bark"
9,1,12,51102,51001,50814,50966,51071,51024,50849,50791,50768,56539,"Greaves of Hist Bark"
9,1,13,51103,51002,50815,50967,51072,51025,50850,50792,50769,56540,"Pauldron of Hist Bark"
9,1,14,51104,51003,50816,50968,51073,51026,50851,50793,50770,56541,"Girdle of Hist Bark"
9,6,1,51113,50945,50747,50957,50840,50759,51050,50992,51062,56530,"Bow of Hist Bark"
9,6,2,51117,50946,50748,50958,50841,50760,51051,50993,51063,56531,"Inferno Staff of Hist Bark"
9,6,3,51118,50947,50749,50959,50842,50761,51052,50994,51064,56532,"Ice Staff of Hist Bark"
9,6,4,51119,50948,50750,50960,50843,50762,51053,50995,51065,56533,"Lightning Staff of Hist Bark"
9,6,5,51120,50949,50751,50961,50844,50763,51054,50996,51066,56534,"Restoration Staff of Hist Bark"
9,6,6,51116,51019,50832,50984,51089,51042,50867,50809,50786,56557,"Shield of Hist Bark"
11,2,1,48425,48328,48141,48293,48398,48351,48176,48118,48095,56297,"Robe of Vampire's Kiss"
11,2,2,48430,48333,48146,48298,48403,48356,48181,48123,48100,56302,"Shirt of Vampire's Kiss"
11,2,3,48426,48329,48142,48294,48399,48352,48177,48119,48096,56298,"Shoes of Vampire's Kiss"
11,2,4,48427,48330,48143,48295,48400,48353,48178,48120,48097,56299,"Gloves of Vampire's Kiss"
11,2,5,48428,48331,48144,48296,48401,48354,48179,48121,48098,56300,"Hat of Vampire's Kiss"
11,2,6,48429,48332,48145,48297,48402,48355,48180,48122,48099,56301,"Breeches of Vampire's Kiss"
11,2,7,48431,48334,48147,48299,48404,48357,48182,48124,48101,56303,"Epaulets of Vampire's Kiss"
11,2,8,48432,48335,48148,48300,48405,48358,48183,48125,48102,56304,"Sash of Vampire's Kiss"
11,2,9,48434,48336,48149,48301,48406,48359,48184,48126,48103,56305,"Jack of Vampire's Kiss"
11,2,10,48435,48337,48150,48302,48407,48360,48185,48127,48104,56306,"Boots of Vampire's Kiss"
11,2,11,48436,48338,48151,48303,48408,48361,48186,48128,48105,56307,"Bracers of Vampire's Kiss"
11,2,12,48437,48339,48152,48304,48409,48362,48187,48129,48106,56308,"Helmet of Vampire's Kiss"
11,2,13,48438,48340,48153,48305,48410,48363,48188,48130,48107,56309,"Guards of Vampire's Kiss"
11,2,14,48439,48341,48154,48306,48411,48364,48189,48131,48108,56310,"Arm Cops of Vampire's Kiss"
11,2,15,48440,48342,48155,48307,48412,48365,48190,48132,48109,56311,"Belt of Vampire's Kiss"
11,1,1,48414,48262,48064,48274,48157,48076,48367,48309,48379,56278,"Axe of Vampire's Kiss"
11,1,2,48415,48263,48065,48275,48158,48077,48368,48310,48380,56279,"Hammer of Vampire's Kiss"
11,1,3,48416,48264,48066,48276,48159,48078,48369,48311,48381,56280,"Sword of Vampire's Kiss"
11,1,4,48417,48265,48067,48277,48160,48079,48370,48312,48382,56281,"Battle Axe of Vampire's Kiss"
11,1,5,48419,48267,48069,48279,48162,48081,48372,48314,48384,56283,"Greatsword of Vampire's Kiss"
11,1,6,48418,48266,48068,48278,48161,48080,48371,48313,48383,56282,"Maul of Vampire's Kiss"
11,1,7,48420,48268,48070,48280,48163,48082,48373,48315,48385,56284,"Dagger of Vampire's Kiss"
11,1,8,43834,48321,48134,48286,48391,48344,48169,48111,48088,56290,"Cuirass of Vampire's Kiss"
11,1,9,48422,48322,48135,48287,48392,48345,48170,48112,48089,56291,"Sabatons of Vampire's Kiss"
11,1,10,43832,48323,48136,48288,48393,48346,48171,48113,48090,56292,"Gauntlets of Vampire's Kiss"
11,1,11,48423,48324,48137,48289,48394,48347,48172,48114,48091,56293,"Helm of Vampire's Kiss"
11,1,12,43833,48325,48138,48290,48395,48348,48173,48115,48092,56294,"Greaves of Vampire's Kiss"
11,1,13,43831,48326,48139,48291,48396,48349,48174,48116,48093,56295,"Pauldron of Vampire's Kiss"
11,1,14,48424,48327,48140,48292,48397,48350,48175,48117,48094,56296,"Girdle of Vampire's Kiss"
11,6,1,48433,48269,48071,48281,48164,48083,48374,48316,48386,56285,"Bow of Vampire's Kiss"
11,6,2,48443,48270,48072,48282,48165,48084,48375,48317,48387,56286,"Inferno Staff of Vampire's Kiss"
11,6,3,48444,48271,48073,48283,48166,48085,48376,48318,48388,56287,"Ice Staff of Vampire's Kiss"
11,6,4,48445,48272,48074,48284,48167,48086,48377,48319,48389,56288,"Lightning Staff of Vampire's Kiss"
11,6,5,48446,48273,48075,48285,48168,48087,48378,48320,48390,56289,"Restoration Staff of Vampire's Kiss"
11,6,6,48442,48343,48156,48308,48413,48366,48191,48133,48110,56312,"Shield of Vampire's Kiss"
13,2,1,52624,52528,52341,52493,52598,52551,52376,52318,52295,56682,"Robe of Alessia's Bulwark"
13,2,2,52629,52533,52346,52498,52603,52556,52381,52323,52300,56687,"Shirt of Alessia's Bulwark"
13,2,3,52625,52529,52342,52494,52599,52552,52377,52319,52296,56683,"Shoes of Alessia's Bulwark"
13,2,4,52626,52530,52343,52495,52600,52553,52378,52320,52297,56684,"Gloves of Alessia's Bulwark"
13,2,5,52627,52531,52344,52496,52601,52554,52379,52321,52298,56685,"Hat of Alessia's Bulwark"
13,2,6,52628,52532,52345,52497,52602,52555,52380,52322,52299,56686,"Breeches of Alessia's Bulwark"
13,2,7,52630,52534,52347,52499,52604,52557,52382,52324,52301,56688,"Epaulets of Alessia's Bulwark"
13,2,8,52631,52535,52348,52500,52605,52558,52383,52325,52302,56689,"Sash of Alessia's Bulwark"
13,2,9,52633,52536,52349,52501,52606,52559,52384,52326,52303,56690,"Jack of Alessia's Bulwark"
13,2,10,52634,52537,52350,52502,52607,52560,52385,52327,52304,56691,"Boots of Alessia's Bulwark"
13,2,11,52635,52538,52351,52503,52608,52561,52386,52328,52305,56692,"Bracers of Alessia's Bulwark"
13,2,12,52636,52539,52352,52504,52609,52562,52387,52329,52306,56693,"Helmet of Alessia's Bulwark"
13,2,13,52637,52540,52353,52505,52610,52563,52388,52330,52307,56694,"Guards of Alessia's Bulwark"
13,2,14,52638,52541,52354,52506,52611,52564,52389,52331,52308,56695,"Arm Cops of Alessia's Bulwark"
13,2,15,52639,52542,52355,52507,52612,52565,52390,52332,52309,56696,"Belt of Alessia's Bulwark"
13,1,1,52614,52462,52264,52474,52357,52276,52567,52509,52579,56663,"Axe of Alessia's Bulwark"
13,1,2,52615,52463,52265,52475,52358,52277,52568,52510,52580,56664,"Hammer of Alessia's Bulwark"
13,1,3,52616,52464,52266,52476,52359,52278,52569,52511,52581,56665,"Sword of Alessia's Bulwark"
13,1,4,52617,52465,52267,52477,52360,52279,52570,52512,52582,56666,"Battle Axe of Alessia's Bulwark"
13,1,5,52619,52467,52269,52479,52362,52281,52572,52514,52584,56668,"Greatsword of Alessia's Bulwark"
13,1,6,52618,52466,52268,52478,52361,52280,52571,52513,52583,56667,"Maul of Alessia's Bulwark"
13,1,7,52620,52468,52270,52480,52363,52282,52573,52515,52585,56669,"Dagger of Alessia's Bulwark"
13,1,8,44022,52521,52334,52486,52591,52544,52369,52311,52288,56675,"Cuirass of Alessia's Bulwark"
13,1,9,52622,52522,52335,52487,52592,52545,52370,52312,52289,56676,"Sabatons of Alessia's Bulwark"
13,1,10,52623,52523,52336,52488,52593,52546,52371,52313,52290,56677,"Gauntlets of Alessia's Bulwark"
13,1,11,44019,52524,52337,52489,52594,52547,52372,52314,52291,56678,"Helm of Alessia's Bulwark"
13,1,12,44021,52525,52338,52490,52595,52548,52373,52315,52292,56679,"Greaves of Alessia's Bulwark"
13,1,13,44020,52526,52339,52491,52596,52549,52374,52316,52293,56680,"Pauldron of Alessia's Bulwark"
13,1,14,44023,52527,52340,52492,52597,52550,52375,52317,52294,56681,"Girdle of Alessia's Bulwark"
13,6,1,52632,52469,52271,52481,52364,52283,52574,52516,52586,56670,"Bow of Alessia's Bulwark"
13,6,2,52641,52470,52272,52482,52365,52284,52575,52517,52587,56671,"Inferno Staff of Alessia's Bulwark"
13,6,3,52642,52471,52273,52483,52366,52285,52576,52518,52588,56672,"Ice Staff of Alessia's Bulwark"
13,6,4,52643,52472,52274,52484,52367,52286,52577,52519,52589,56673,"Lightning Staff of Alessia's Bulwark"
13,6,5,52644,52473,52275,52485,52368,52287,52578,52520,52590,56674,"Restoration Staff of Alessia's Bulwark"
13,6,6,44024,52543,52356,52508,52613,52566,52391,52333,52310,56697,"Shield of Alessia's Bulwark"
15,2,1,51486,51385,51198,51350,51455,51408,51233,51175,51152,56577,"Robe of the Willow's Path"
15,2,2,51491,51390,51203,51355,51460,51413,51238,51180,51157,56582,"Shirt of the Willow's Path"
15,2,3,51487,51386,51199,51351,51456,51409,51234,51176,51153,56578,"Shoes of the Willow's Path"
15,2,4,51488,51387,51200,51352,51457,51410,51235,51177,51154,56579,"Gloves of the Willow's Path"
15,2,5,51489,51388,51201,51353,51458,51411,51236,51178,51155,56580,"Hat of the Willow's Path"
15,2,6,51490,51389,51202,51354,51459,51412,51237,51179,51156,56581,"Breeches of the Willow's Path"
15,2,7,51492,51391,51204,51356,51461,51414,51239,51181,51158,56583,"Epaulets of the Willow's Path"
15,2,8,51493,51392,51205,51357,51462,51415,51240,51182,51159,56584,"Sash of the Willow's Path"
15,2,9,44005,51393,51206,51358,51463,51416,51241,51183,51160,56585,"Jack of the Willow's Path"
15,2,10,44006,51394,51207,51359,51464,51417,51242,51184,51161,56586,"Boots of the Willow's Path"
15,2,11,44003,51395,51208,51360,51465,51418,51243,51185,51162,56587,"Bracers of the Willow's Path"
15,2,12,44001,51396,51209,51361,51466,51419,51244,51186,51163,56588,"Helmet of the Willow's Path"
15,2,13,44004,51397,51210,51362,51467,51420,51245,51187,51164,56589,"Guards of the Willow's Path"
15,2,14,44002,51398,51211,51363,51468,51421,51246,51188,51165,56590,"Arm Cops of the Willow's Path"
15,2,15,51495,51399,51212,51364,51469,51422,51247,51189,51166,56591,"Belt of the Willow's Path"
15,1,1,51471,51319,51121,51331,51214,51133,51424,51366,51436,56558,"Axe of the Willow's Path"
15,1,2,51472,51320,51122,51332,51215,51134,51425,51367,51437,56559,"Hammer of the Willow's Path"
15,1,3,51473,51321,51123,51333,51216,51135,51426,51368,51438,56560,"Sword of the Willow's Path"
15,1,4,51474,51322,51124,51334,51217,51136,51427,51369,51439,56561,"Battle Axe of the Willow's Path"
15,1,5,51476,51324,51126,51336,51219,51138,51429,51371,51441,56563,"Greatsword of the Willow's Path"
15,1,6,51475,51323,51125,51335,51218,51137,51428,51370,51440,56562,"Maul of the Willow's Path"
15,1,7,51477,51325,51127,51337,51220,51139,51430,51372,51442,56564,"Dagger of the Willow's Path"
15,1,8,51479,51378,51191,51343,51448,51401,51226,51168,51145,56570,"Cuirass of the Willow's Path"
15,1,9,51480,51379,51192,51344,51449,51402,51227,51169,51146,56571,"Sabatons of the Willow's Path"
15,1,10,51481,51380,51193,54191,51450,51403,51228,51170,51147,56572,"Gauntlets of the Willow's Path"
15,1,11,51482,51381,51194,51346,51451,51404,51229,51171,51148,56573,"Helm of the Willow's Path"
15,1,12,51483,51382,51195,51347,51452,51405,51230,51172,51149,56574,"Greaves of the Willow's Path"
15,1,13,51484,51383,51196,51348,51453,51406,51231,51173,51150,56575,"Pauldron of the Willow's Path"
15,1,14,51485,51384,51197,51349,51454,51407,51232,51174,51151,56576,"Girdle of the Willow's Path"
15,6,1,51494,51326,51128,51338,51221,51140,51431,51373,51443,56565,"Bow of the Willow's Path"
15,6,2,51498,51327,51129,51339,51222,51141,51432,51374,51444,56566,"Inferno Staff of the Willow's Path"
15,6,3,51499,51328,51130,51340,51223,51142,51433,51375,51445,56567,"Ice Staff of the Willow's Path"
15,6,4,51500,51329,51131,51341,51224,51143,51434,51376,51446,56568,"Lightning Staff of the Willow's Path"
15,6,5,51501,51330,51132,51342,51225,51144,51435,51377,51447,56569,"Restoration Staff of the Willow's Path"
15,6,6,51497,51400,51213,51365,51470,51423,51248,51190,51167,56592,"Shield of the Willow's Path"
19,2,1,44053,53290,53103,53255,53360,53313,53138,53080,53057,56752,"Robe of the Eyes of Mara"
19,2,2,53392,53295,53108,53260,53365,53318,53143,53085,53062,56757,"Shirt of the Eyes of Mara"
19,2,3,53391,53291,53104,53256,53361,53314,53139,53081,53058,56753,"Shoes of the Eyes of Mara"
19,2,4,44051,53292,53105,53257,53362,53315,53140,53082,53059,56754,"Gloves of the Eyes of Mara"
19,2,5,44049,53293,53106,53258,53363,53316,53141,53083,53060,56755,"Hat of the Eyes of Mara"
19,2,6,44052,53294,53107,53259,53364,53317,53142,53084,53061,56756,"Breeches of the Eyes of Mara"
19,2,7,44050,53296,53109,53261,53366,53319,53144,53086,53063,56758,"Epaulets of the Eyes of Mara"
19,2,8,44054,53297,53110,53262,53367,53320,53145,53087,53064,56759,"Sash of the Eyes of Mara"
19,2,9,53394,53298,53111,53263,53368,53321,53146,53088,53065,56760,"Jack of the Eyes of Mara"
19,2,10,53395,53299,53112,53264,53369,53322,53147,53089,53066,56761,"Boots of the Eyes of Mara"
19,2,11,53396,53300,53113,53265,53370,53323,53148,53090,53067,56762,"Bracers of the Eyes of Mara"
19,2,12,53397,53301,53114,53266,53371,53324,53149,53091,53068,56763,"Helmet of the Eyes of Mara"
19,2,13,53398,53302,53115,53267,53372,53325,53150,53092,53069,56764,"Guards of the Eyes of Mara"
19,2,14,53399,53303,53116,53268,53373,53326,53151,53093,53070,56765,"Arm Cops of the Eyes of Mara"
19,2,15,53400,53304,53117,53269,53374,53327,53152,53094,53071,56766,"Belt of the Eyes of Mara"
19,1,1,53376,53224,53026,53236,53119,53038,53329,53271,53341,56733,"Axe of the Eyes of Mara"
19,1,2,53377,53225,53027,53237,53120,53039,53330,53272,53342,56734,"Hammer of the Eyes of Mara"
19,1,3,53378,53226,53028,53238,53121,53040,53331,53273,53343,56735,"Sword of the Eyes of Mara"
19,1,4,53379,53227,53029,53239,53122,53041,53332,53274,53344,56736,"Battle Axe of the Eyes of Mara"
19,1,5,53381,53229,53031,53241,53124,53043,53334,53276,53346,56738,"Greatsword of the Eyes of Mara"
19,1,6,53380,53228,53030,53240,53123,53042,53333,53275,53345,56737,"Maul of the Eyes of Mara"
19,1,7,53382,53230,53032,53242,53125,53044,53335,53277,53347,56739,"Dagger of the Eyes of Mara"
19,1,8,53384,53283,53096,53248,53353,53306,53131,53073,53050,56745,"Cuirass of the Eyes of Mara"
19,1,9,53385,53284,53097,53249,53354,53307,53132,53074,53051,56746,"Sabatons of the Eyes of Mara"
19,1,10,53386,53285,53098,53250,53355,53308,53133,53075,53052,56747,"Gauntlets of the Eyes of Mara"
19,1,11,53387,53286,53099,53251,53356,53309,53134,53076,53053,56748,"Helm of the Eyes of Mara"
19,1,12,53388,53287,53100,53252,53357,53310,53135,53077,53054,56749,"Greaves of the Eyes of Mara"
19,1,13,53389,53288,53101,53253,53358,53311,53136,53078,53055,56750,"Pauldron of the Eyes of Mara"
19,1,14,53390,53289,53102,53254,53359,53312,53137,53079,53056,56751,"Girdle of the Eyes of Mara"
19,6,1,53393,53231,53033,53243,53126,53045,53336,53278,53348,56740,"Bow of the Eyes of Mara"
19,6,2,53403,53232,53034,53244,53127,53046,53337,53279,53349,56741,"Inferno Staff of the Eyes of Mara"
19,6,3,53404,53233,53035,53245,53128,53047,53338,53280,53350,56742,"Ice Staff of the Eyes of Mara"
19,6,4,53405,53234,53036,53246,53129,53048,53339,53281,53351,56743,"Lightning Staff of the Eyes of Mara"
19,6,5,53406,53235,53037,53247,53130,53049,53340,53282,53352,56744,"Restoration Staff of the Eyes of Mara"
19,6,6,53402,53305,53118,53270,53375,53328,53153,53095,53072,56767,"Shield of the Eyes of Mara"
23,2,1,54963,54808,55037,55072,55107,55142,55177,55212,55247,56101,"Robe of the Arena"
23,2,2,54956,54801,55030,55065,55100,55135,55170,55205,55240,56094,"Shirt of the Arena"
23,2,3,54962,54807,55036,55071,55106,55141,55176,55211,55246,56100,"Shoes of the Arena"
23,2,4,54959,54804,55033,55068,55103,55138,55173,55208,55243,56097,"Gloves of the Arena"
23,2,5,54957,54802,55031,55066,55101,55136,55171,55206,55241,56095,"Hat of the Arena"
23,2,6,54961,54806,55035,55070,55105,55140,55175,55210,55245,56099,"Breeches of the Arena"
23,2,7,54958,54803,55032,55067,55102,55137,55172,55207,55242,56096,"Epaulets of the Arena"
23,2,8,54960,54805,55034,55069,55104,55139,55174,55209,55244,56098,"Sash of the Arena"
23,2,9,54949,54794,55023,55058,55093,55128,55163,55198,55233,56087,"Jack of the Arena"
23,2,10,54955,54800,55029,55064,55099,55134,55169,55204,55239,56093,"Boots of the Arena"
23,2,11,54952,54797,55026,55061,55096,55131,55166,55201,55236,56090,"Bracers of the Arena"
23,2,12,54950,54795,55024,55059,55094,55129,55164,55199,55234,56088,"Helmet of the Arena"
23,2,13,54954,54799,55028,55063,55098,55133,55168,55203,55238,56092,"Guards of the Arena"
23,2,14,54951,54796,55025,55060,55095,55130,55165,55200,55235,56089,"Arm Cops of the Arena"
23,2,15,54953,54798,55027,55062,55097,55132,55167,55202,55237,56091,"Belt of the Arena"
23,1,1,54965,54810,55039,55074,55109,55144,55179,55214,55249,56069,"Axe of the Arena"
23,1,2,54966,54811,55040,55075,55110,55145,55180,55215,55250,56070,"Hammer of the Arena"
23,1,3,54964,54809,55038,55073,55108,55143,55178,55213,55248,56068,"Sword of the Arena"
23,1,4,54968,54813,55042,55077,55112,55147,55182,55217,55252,56072,"Battle Axe of the Arena"
23,1,5,54967,54812,55041,55076,55111,55146,55181,55216,55251,56071,"Greatsword of the Arena"
23,1,6,54969,54814,55043,55078,55113,55148,55183,55218,55253,56073,"Maul of the Arena"
23,1,7,54970,54815,55044,55079,55114,55149,55184,55219,55254,56074,"Dagger of the Arena"
23,1,8,54942,54787,54822,55051,55086,55121,55156,55191,55226,56080,"Cuirass of the Arena"
23,1,9,54948,54793,55022,55057,55092,55127,55162,55197,55232,56086,"Sabatons of the Arena"
23,1,10,54945,54790,55019,55054,55089,55124,55159,55194,55229,56083,"Gauntlets of the Arena"
23,1,11,54943,54788,55017,55052,55087,55122,55157,55192,55227,56081,"Helm of the Arena"
23,1,12,54947,54792,55021,55056,55091,55126,55161,55196,55231,56085,"Greaves of the Arena"
23,1,13,54944,54789,55018,55053,55088,55123,55158,55193,55228,56082,"Pauldron of the Arena"
23,1,14,54946,54791,55020,55055,55090,55125,55160,55195,55230,56084,"Girdle of the Arena"
23,6,1,54971,54816,55045,55080,55115,55150,55185,55220,55255,56075,"Bow of the Arena"
23,6,2,54972,54817,55046,55081,55116,55151,55186,55221,55256,56076,"Inferno Staff of the Arena"
23,6,3,54973,54818,55047,55082,55117,55152,55187,55222,55257,56077,"Ice Staff of the Arena"
23,6,4,54974,54819,55048,55083,55118,55153,55188,55223,55258,56078,"Lightning Staff of the Arena"
23,6,5,54975,54820,55049,55084,55119,55154,55189,55224,55259,56079,"Restoration Staff of the Arena"
23,6,6,54976,54821,55050,55085,55120,55155,55190,55225,55260,56102,"Shield of the Arena"
27,2,1,60980,60665,60700,60735,60770,60805,60840,60875,60910,60945,"Robe of the Armor Master"
27,2,2,60985,60670,60705,60740,60775,60810,60845,60880,60915,60950,"Jerkin of the Armor Master"
27,2,3,60981,60666,60701,60736,60771,60806,60841,60876,60911,60946,"Shoes of the Armor Master"
27,2,4,60982,60667,60702,60737,60772,60807,60842,60877,60912,60947,"Gloves of the Armor Master"
27,2,5,60983,60668,60703,60738,60773,60808,60843,60878,60913,60948,"Hat of the Armor Master"
27,2,6,60984,60669,60704,60739,60774,60809,60844,60879,60914,60949,"Breeches of the Armor Master"
27,2,7,60986,60671,60706,60741,60776,60811,60846,60881,60916,60951,"Epaulets of the Armor Master"
27,2,8,60987,60672,60707,60742,60777,60812,60847,60882,60917,60952,"Sash of the Armor Master"
27,2,9,60988,60673,60708,60743,60778,60813,60848,60883,60918,60953,"Jack of the Armor Master"
27,2,10,60989,60674,60709,60744,60779,60814,60849,60884,60919,60954,"Boots of the Armor Master"
27,2,11,60990,60675,60710,60745,60780,60815,60850,60885,60920,60955,"Bracers of the Armor Master"
27,2,12,60991,60676,60711,60746,60781,60816,60851,60886,60921,60956,"Helmet of the Armor Master"
27,2,13,60992,60677,60712,60747,60782,60817,60852,60887,60922,60957,"Guards of the Armor Master"
27,2,14,60993,60678,60713,60748,60783,60818,60853,60888,60923,60958,"Arm Cops of the Armor Master"
27,2,15,60994,60679,60714,60749,60784,60819,60854,60889,60924,60959,"Belt of the Armor Master"
27,1,1,60961,60646,60681,60716,60751,60786,60821,60856,60891,60926,"axe of the Armor Master"
27,1,2,60962,60647,60682,60717,60752,60787,60822,60857,60892,60927,"mace of the Armor Master"
27,1,3,60963,60648,60683,60718,60753,60788,60823,60858,60893,60928,"Sword of the Armor Master"
27,1,4,60964,60649,60684,60719,60754,60789,60824,60859,60894,60929,"Battle Axe of the Armor Master"
27,1,5,60966,60651,60686,60721,60756,60791,60826,60861,60896,60931,"Greatsword of the Armor Master"
